GENEID,transcript count
ENSMUSG00000004567.17,11
ENSMUSG00000004568.14,8
ENSMUSG00000004591.17,8
ENSMUSG00000004609.12,4
ENSMUSG00000004610.5,7
ENSMUSG00000004612.10,3
ENSMUSG00000004626.15,9
ENSMUSG00000004630.19,7
ENSMUSG00000004631.16,13
ENSMUSG00000004633.18,15
ENSMUSG00000004637.16,8
ENSMUSG00000004642.14,8
ENSMUSG00000004651.7,1
ENSMUSG00000004655.6,1
ENSMUSG00000004661.16,8
ENSMUSG00000004665.11,2
ENSMUSG00000004667.19,5
ENSMUSG00000004668.15,1
ENSMUSG00000004677.19,4
ENSMUSG00000004698.12,12
ENSMUSG00000004707.15,3
ENSMUSG00000004709.15,2
ENSMUSG00000004730.16,3
ENSMUSG00000004748.6,2
ENSMUSG00000004768.15,9
ENSMUSG00000004771.13,9
ENSMUSG00000004788.12,7
ENSMUSG00000004789.11,7
ENSMUSG00000004791.8,4
ENSMUSG00000004798.15,3
ENSMUSG00000004814.11,2
ENSMUSG00000004815.13,9
ENSMUSG00000004837.3,1
ENSMUSG00000004843.8,2
ENSMUSG00000004846.11,3
ENSMUSG00000004849.15,5
ENSMUSG00000004864.14,8
ENSMUSG00000004865.17,12
ENSMUSG00000004872.16,3
ENSMUSG00000004880.12,8
ENSMUSG00000004885.6,2
ENSMUSG00000004891.17,2
ENSMUSG00000004892.14,5
ENSMUSG00000004894.11,3
ENSMUSG00000004895.10,1
ENSMUSG00000004896.17,10
ENSMUSG00000004897.17,5
ENSMUSG00000004902.8,1
ENSMUSG00000004929.13,4
ENSMUSG00000004931.12,4
ENSMUSG00000004933.18,11
ENSMUSG00000004934.15,4
ENSMUSG00000004936.9,4
ENSMUSG00000004937.7,7
ENSMUSG00000004939.8,1
ENSMUSG00000004945.16,3
ENSMUSG00000004947.16,6
ENSMUSG00000004948.13,1
ENSMUSG00000004951.11,2
ENSMUSG00000004952.14,10
ENSMUSG00000004961.8,3
ENSMUSG00000004980.17,13
ENSMUSG00000004988.10,9
ENSMUSG00000004994.13,6
ENSMUSG00000004996.10,5
ENSMUSG00000005034.16,7
ENSMUSG00000005043.14,4
ENSMUSG00000005045.17,5
ENSMUSG00000005054.8,1
ENSMUSG00000005057.14,3
ENSMUSG00000005069.13,7
ENSMUSG00000005078.17,7
ENSMUSG00000005087.18,9
ENSMUSG00000005089.16,11
ENSMUSG00000005102.14,7
ENSMUSG00000005103.13,8
ENSMUSG00000005107.14,8
ENSMUSG00000005124.11,3
ENSMUSG00000005125.14,8
ENSMUSG00000005131.5,3
ENSMUSG00000005142.11,4
ENSMUSG00000005148.9,2
ENSMUSG00000005150.17,10
ENSMUSG00000005161.16,8
ENSMUSG00000005198.16,3
ENSMUSG00000005204.13,8
ENSMUSG00000005220.11,2
ENSMUSG00000005225.16,2
ENSMUSG00000005233.17,4
ENSMUSG00000005237.15,4
ENSMUSG00000005251.16,1
ENSMUSG00000005262.14,10
ENSMUSG00000005267.14,6
ENSMUSG00000005268.21,8
ENSMUSG00000005299.7,6
ENSMUSG00000005312.16,4
ENSMUSG00000005338.15,5
ENSMUSG00000005354.17,7
ENSMUSG00000005357.10,2
ENSMUSG00000005360.15,8
ENSMUSG00000005362.15,4
ENSMUSG00000005370.5,2
ENSMUSG00000005371.16,6
ENSMUSG00000005373.14,5
ENSMUSG00000005374.14,2
ENSMUSG00000005378.18,13
ENSMUSG00000005397.9,3
ENSMUSG00000005410.7,3
ENSMUSG00000005413.9,1
ENSMUSG00000005417.18,8
ENSMUSG00000005442.14,12
ENSMUSG00000005447.13,6
ENSMUSG00000005465.10,1
ENSMUSG00000005469.11,2
ENSMUSG00000005470.9,1
ENSMUSG00000005481.19,7
ENSMUSG00000005483.11,2
ENSMUSG00000005493.16,2
ENSMUSG00000005501.15,8
ENSMUSG00000005505.13,5
ENSMUSG00000005506.17,13
ENSMUSG00000005510.10,6
ENSMUSG00000005514.15,9
ENSMUSG00000005533.11,3
ENSMUSG00000005534.11,4
ENSMUSG00000005540.11,1
ENSMUSG00000005547.15,2
ENSMUSG00000005553.15,3
ENSMUSG00000005566.15,10
ENSMUSG00000005575.17,8
ENSMUSG00000005580.12,3
ENSMUSG00000005583.17,31
ENSMUSG00000005609.17,6
ENSMUSG00000005610.18,13
ENSMUSG00000005611.16,4
